SampleID,PubID,RefID,Populations,Reference,Nationality,Time
MH0001,MH0001,MH0001,E,Ref 2,Danish,stool1
MH0002,MH0002,MH0002,E,Ref 2,Danish,stool1
MH0003,MH0003,MH0003,E,Ref 2,Danish,stool1
MH0004,MH0004,MH0004,E,Ref 2,Danish,stool1
MH0005,MH0005,MH0005,E,Ref 2,Danish,stool1
MH0006,MH0006,MH0006,E,Ref 2,Danish,stool1
MH0007,MH0007,MH0007,E,Ref 2,Danish,stool1
MH0008,MH0008,MH0008,E,Ref 2,Danish,stool1
MH0009,MH0009,MH0009,E,Ref 2,Danish,stool1
MH0010,MH0010,MH0010,E,Ref 2,Danish,stool1
MH0011,MH0011,MH0011,E,Ref 2,Danish,stool1
MH0012,MH0012,MH0012,E,Ref 2,Danish,stool1
MH0013,MH0013,MH0013,E,Ref 2,Danish,stool1
MH0014,MH0014,MH0014,E,Ref 2,Danish,stool1
MH0015,MH0015,MH0015,E,Ref 2,Danish,stool1
MH0016,MH0016,MH0016,E,Ref 2,Danish,stool1
MH0017,MH0017,MH0017,E,Ref 2,Danish,stool1
MH0018,MH0018,MH0018,E,Ref 2,Danish,stool1
MH0019,MH0019,MH0019,E,Ref 2,Danish,stool1
MH0020,MH0020,MH0020,E,Ref 2,Danish,stool1
MH0021,MH0021,MH0021,E,Ref 2,Danish,stool1
MH0022,MH0022,MH0022,E,Ref 2,Danish,stool1
MH0023,MH0023,MH0023,E,Ref 2,Danish,stool1
MH0024,MH0024,MH0024,E,Ref 2,Danish,stool1
MH0025,MH0025,MH0025,E,Ref 2,Danish,stool1
MH0026,MH0026,MH0026,E,Ref 2,Danish,stool1
MH0027,MH0027,MH0027,E,Ref 2,Danish,stool1
MH0028,MH0028,MH0028,E,Ref 2,Danish,stool1
MH0030,MH0030,MH0030,E,Ref 2,Danish,stool1
MH0031,MH0031,MH0031,E,Ref 2,Danish,stool1
MH0032,MH0032,MH0032,E,Ref 2,Danish,stool1
MH0033,MH0033,MH0033,E,Ref 2,Danish,stool1
MH0034,MH0034,MH0034,E,Ref 2,Danish,stool1
MH0035,MH0035,MH0035,E,Ref 2,Danish,stool1
MH0036,MH0036,MH0036,E,Ref 2,Danish,stool1
MH0037,MH0037,MH0037,E,Ref 2,Danish,stool1
MH0038,MH0038,MH0038,E,Ref 2,Danish,stool1
MH0039,MH0039,MH0039,E,Ref 2,Danish,stool1
MH0040,MH0040,MH0040,E,Ref 2,Danish,stool1
MH0041,MH0041,MH0041,E,Ref 2,Danish,stool1
MH0042,MH0042,MH0042,E,Ref 2,Danish,stool1
MH0043,MH0043,MH0043,E,Ref 2,Danish,stool1
MH0044,MH0044,MH0044,E,Ref 2,Danish,stool1
MH0045,MH0045,MH0045,E,Ref 2,Danish,stool1
MH0046,MH0046,MH0046,E,Ref 2,Danish,stool1
MH0047,MH0047,MH0047,E,Ref 2,Danish,stool1
MH0048,MH0048,MH0048,E,Ref 2,Danish,stool1
MH0049,MH0049,MH0049,E,Ref 2,Danish,stool1
MH0050,MH0050,MH0050,E,Ref 2,Danish,stool1
MH0051,MH0051,MH0051,E,Ref 2,Danish,stool1
MH0052,MH0052,MH0052,E,Ref 2,Danish,stool1
MH0053,MH0053,MH0053,E,Ref 2,Danish,stool1
MH0054,MH0054,MH0054,E,Ref 2,Danish,stool1
MH0055,MH0055,MH0055,E,Ref 2,Danish,stool1
MH0056,MH0056,MH0056,E,Ref 2,Danish,stool1
MH0057,MH0057,MH0057,E,Ref 2,Danish,stool1
MH0058,MH0058,MH0058,E,Ref 2,Danish,stool1
MH0059,MH0059,MH0059,E,Ref 2,Danish,stool1
MH0060,MH0060,MH0060,E,Ref 2,Danish,stool1
MH0061,MH0061,MH0061,E,Ref 2,Danish,stool1
MH0062,MH0062,MH0062,E,Ref 2,Danish,stool1
MH0063,MH0063,MH0063,E,Ref 2,Danish,stool1
MH0064,MH0064,MH0064,E,Ref 2,Danish,stool1
MH0065,MH0065,MH0065,E,Ref 2,Danish,stool1
MH0066,MH0066,MH0066,E,Ref 2,Danish,stool1
MH0067,MH0067,MH0067,E,Ref 2,Danish,stool1
MH0068,MH0068,MH0068,E,Ref 2,Danish,stool1
MH0069,MH0069,MH0069,E,Ref 2,Danish,stool1
MH0070,MH0070,MH0070,E,Ref 2,Danish,stool1
MH0071,MH0071,MH0071,E,Ref 2,Danish,stool1
MH0072,MH0072,MH0072,E,Ref 2,Danish,stool1
MH0073,MH0073,MH0073,E,Ref 2,Danish,stool1
MH0074,MH0074,MH0074,E,Ref 2,Danish,stool1
MH0075,MH0075,MH0075,E,Ref 2,Danish,stool1
MH0076,MH0076,MH0076,E,Ref 2,Danish,stool1
MH0077,MH0077,MH0077,E,Ref 2,Danish,stool1
MH0078,MH0078,MH0078,E,Ref 2,Danish,stool1
MH0079,MH0079,MH0079,E,Ref 2,Danish,stool1
MH0080,MH0080,MH0080,E,Ref 2,Danish,stool1
MH0081,MH0081,MH0081,E,Ref 2,Danish,stool1
MH0082,MH0082,MH0082,E,Ref 2,Danish,stool1
MH0083,MH0083,MH0083,E,Ref 2,Danish,stool1
MH0084,MH0084,MH0084,E,Ref 2,Danish,stool1
MH0085,MH0085,MH0085,E,Ref 2,Danish,stool1
MH0086,MH0086,MH0086,E,Ref 2,Danish,stool1
MH0087,MH0087,MH0087,E,Ref 6 & Ref 10,Danish,stool1
MH0088,MH0088,MH0088,E,Ref 6 & Ref 10,Danish,stool1
MH0089,MH0089,MH0089,E,Ref 6 & Ref 10,Danish,stool1
MH0090,MH0090,MH0090,E,Ref 6 & Ref 10,Danish,stool1
MH0091,MH0091,MH0091,E,Ref 6 & Ref 10,Danish,stool1
MH0092,MH0092,MH0092,E,Ref 6 & Ref 10,Danish,stool1
MH0093,MH0093,MH0093,E,Ref 6 & Ref 10,Danish,stool1
MH0094,MH0094,MH0094,E,Ref 6 & Ref 10,Danish,stool1
MH0095,MH0095,MH0095,E,Ref 6 & Ref 10,Danish,stool1
MH0096,MH0096,MH0096,E,Ref 6 & Ref 10,Danish,stool1
MH0097,MH0097,MH0097,E,Ref 6 & Ref 10,Danish,stool1
MH0098,MH0098,MH0098,E,Ref 6 & Ref 10,Danish,stool1
MH0099,MH0099,MH0099,E,Ref 6 & Ref 10,Danish,stool1
MH0100,MH0100,MH0100,E,Ref 6 & Ref 10,Danish,stool1
MH0101,MH0101,MH0101,E,Ref 6 & Ref 10,Danish,stool1
MH0102,MH0102,MH0102,E,Ref 6 & Ref 10,Danish,stool1
MH0103,MH0103,MH0103,E,Ref 6 & Ref 10,Danish,stool1
